CLASS HABITAT-TYPE-GROUP
NAME B1
HABITAT-TYPES 170:171:172:320:322:323:324:330:350:370
CLIMAX-SPECIES DF:PP
SERAL-SPECIES DF:PP:LP:L:CW:MC
END

CLASS ALL-VEG-TYPES
947
L-DF-PP,MMU,3,4,SUCCESSION:L-DF-PP/LMU/4:0:PP-MPB:L-DF/LARGE/2:0:MIXED-SEVERITY-FIRE:L-DF-PP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF-PP/LARGE/3:0:DF-BEETLE:L-PP/LMU/2:0:ROOT-DISEASE:L-PP/MEDIUM/2:0,L-DF-PP:475:300
LATE-SERAL,MMU,2,4,SUCCESSION:LATE-SERAL/MMU3/4:0:LIGHT-LP-MPB:EARLY-SERAL/MEDIUM/3:0:MIXED-SEVERITY-FIRE:L-PP/MEDIUM/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF-PP/MEDIUM/3:0:SEVERE-LP-MPB:L-DF/MEDIUM/2:0,LATE-SERAL:465:290:L-LP-DF-GF:407:388
PP-DF,PTS,2,3,SUCCESSION:PP-DF/MMU/4:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/POLE/2:0,PP-DF:190:160:PP:190:274
PP-DF,PTS,2,2,SUCCESSION:PP-DF/MMU/3:0:MIXED-SEVERITY-FIRE:PP/MEDIUM/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/MEDIUM/2:0,PP-DF:190:30:PP:194:98
L-DF-PP,VLMU,8,4,SUCCESSION:L-DF-PP/VLMU9/4:0:PP-MPB:L-DF/LMU/3:0:LIGHT-WSBW:L-DF-PP/VLMU9/4:0:MIXED-SEVERITY-FIRE:L-DF-PP/VERY-LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF-PP/VLMU/3:0:DF-BEETLE:L-PP/LMU/2:0:SEVERE-WSBW:L-DF-PP/VLTS/2:0,L-DF-PP:1025:350
L-DF,LARGE,4,4,SUCCESSION:L-DF/LMU5/4:0:LIGHT-WSBW:L-DF/LMU/4:0:MIXED-SEVERITY-FIRE:L-DF/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF/LARGE4/3:0:DF-BEETLE:L/LARGE/2:0:ROOT-DISEASE:L-DF/LMU/2:0:SEVERE-WSBW:L-DF/LARGE4/2:0,L-DF:560:310
L-DF,LARGE,4,3,SUCCESSION:L-DF/LMU5/4:0:LIGHT-WSBW:L-DF/LMU/3:0:MIXED-SEVERITY-FIRE:L-DF/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF/LARGE4/2:0:DF-BEETLE:L/LARGE/2:0:ROOT-DISEASE:L-DF/LMU/2:0:SEVERE-WSBW:L-DF/LARGE4/2:0,L-DF:560:180
L-DF,LARGE,4,2,SUCCESSION:L-DF/LMU5/3:0:LIGHT-WSBW:L-DF/LARGE4/2:0:MIXED-SEVERITY-FIRE:L-DF/LARGE4/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF/LARGE4/2:0:DF-BEETLE:L/LARGE/2:0:ROOT-DISEASE:L-DF/LMU/2:0:SEVERE-WSBW:L-DF/LARGE4/2:0,L-DF:560:50
L-DF-LP,SS,1,4,SUCCESSION:L-DF-LP/SS2/4:0:MIXED-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0,L-DF-PP:63:186:L-DF-LP:40:280
L-DF-LP,SS,1,3,SUCCESSION:L-DF-LP/SS2/3:0:MIXED-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:NATIVE-FORBS/OPEN-HERB/1:0,L-DF-PP:66:114:L-DF-LP:40:150
